"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.742819326E2,6.494434909E1,2.539549434E1,-3.513868374E0,1.279999971E0,1.225000000E2,2.500000000E0,2.000000000E0
1.753208039E2,6.494434494E1,2.539552434E1,-3.513871125E0,1.370000005E0,1.231999969E2,2.500000000E0,2.000000000E0
1.763414337E2,6.494433865E1,2.539554278E1,-3.513876011E0,1.319999933E0,1.264000015E2,2.500000000E0,2.000000000E0
1.773321474E2,6.494433367E1,2.539555678E1,-2.513879904E0,1.279999971E0,1.311000061E2,3.000000000E0,2.000000000E0
1.782743775E2,6.494432583E1,2.539558243E1,-2.513885925E0,1.350000024E0,1.311000061E2,2.500000000E0,2.000000000E0
1.792938268E2,6.494432176E1,2.539560397E1,-1.513888830E0,1.279999971E0,1.301000061E2,2.500000000E0,2.000000000E0
1.803310188E2,6.494431313E1,2.539562610E1,-1.513895626E0,1.329999924E0,1.305000000E2,2.500000000E0,2.000000000E0
1.813044164E2,6.494430525E1,2.539565443E1,-2.513901612E0,1.389999986E0,1.306999969E2,2.500000000E0,2.000000000E0
1.823488265E2,6.494429645E1,2.539567966E1,-1.513908470E0,1.350000024E0,1.281000061E2,2.500000000E0,2.000000000E0
1.833502049E2,6.494428895E1,2.539570405E1,-1.513914239E0,1.259999990E0,1.311999969E2,2.500000000E0,2.000000000E0
1.843443059E2,6.494427793E1,2.539572367E1,-1.513923147E0,1.350000024E0,1.301000061E2,2.500000000E0,2.000000000E0
1.853234201E2,6.494426883E1,2.539575024E1,-1.513930221E0,1.399999976E0,1.286999969E2,2.500000000E0,2.000000000E0
1.862870603E2,6.494426330E1,2.539577320E1,-1.513934343E0,1.350000024E0,1.276999969E2,2.500000000E0,2.000000000E0
1.873356183E2,6.494425232E1,2.539579550E1,-2.513943144E0,1.279999971E0,1.243000031E2,2.500000000E0,2.000000000E0
1.883365538E2,6.494425157E1,2.539581939E1,-2.513943155E0,1.269999981E0,9.490000153E1,2.500000000E0,2.000000000E0
1.893400189E2,6.494425023E1,2.539584453E1,-1.513943635E0,1.179999948E0,9.300000000E1,2.500000000E0,2.000000000E0
1.903429380E2,6.494424436E1,2.539585945E1,-2.513948259E0,1.189999938E0,1.231999969E2,2.500000000E0,2.000000000E0
1.913259699E2,6.494423765E1,2.539587932E1,-2.513953468E0,1.299999952E0,1.336000061E2,2.500000000E0,2.000000000E0
1.923217150E2,6.494423103E1,2.539591041E1,-2.513958308E0,1.250000000E0,1.405000000E2,2.500000000E0,2.000000000E0
1.933290110E2,6.494422127E1,2.539592550E1,-2.513966262E0,1.250000000E0,1.451999969E2,2.500000000E0,2.000000000E0
1.943409978E2,6.494421305E1,2.539594168E1,-2.513972860E0,1.209999919E0,1.453000031E2,2.500000000E0,2.000000000E0
1.953306165E2,6.494420341E1,2.539597780E1,-2.513980149E0,1.299999952E0,1.423000031E2,2.500000000E0,2.000000000E0
1.963341757E2,6.494419226E1,2.539599960E1,-2.513989109E0,1.339999914E0,1.385000000E2,2.500000000E0,2.000000000E0
1.973167432E2,6.494418271E1,2.539601737E1,-1.513996814E0,1.259999990E0,1.365000000E2,2.500000000E0,2.000000000E0
1.983404366E2,6.494417521E1,2.539603673E1,-1.514002719E0,1.269999981E0,1.336999969E2,2.500000000E0,2.000000000E0
1.993390354E2,6.494416523E1,2.539605433E1,-1.514010787E0,1.389999986E0,1.283999939E2,2.500000000E0,2.000000000E0
2.003396000E2,6.494415995E1,2.539607654E1,-5.140147170E-1,1.360000014E0,1.255999985E2,2.500000000E0,2.000000000E0
2.013275483E2,6.494415023E1,2.539610378E1,-1.514022315E0,1.309999943E0,1.270999985E2,2.500000000E0,2.000000000E0
2.022994582E2,6.494414130E1,2.539612977E1,-1.514029265E0,1.360000014E0,1.283000031E2,2.500000000E0,2.000000000E0
2.033423721E2,6.494413409E1,2.539615349E1,-1.514034805E0,1.289999962E0,1.316000061E2,2.500000000E0,2.000000000E0
2.043383752E2,6.494412592E1,2.539617880E1,-1.514041128E0,1.309999943E0,1.351000061E2,2.500000000E0,2.000000000E0
2.053298810E2,6.494411825E1,2.539620034E1,-1.514047120E0,1.399999976E0,1.326999969E2,2.500000000E0,2.000000000E0
